day_of_week,total_rentals,day_label
0,414.48878205128204,Mon
1,441.6955128205128,Tue
2,459.05528846153845,Wed
3,442.0753205128205,Thu
4,433.5224358974359,Fri
5,417.26362179487177,Sat
6,395.33569182389937,Sun
