hour_of_day,casual_avg,registered_avg,casual_pct
0,24.55890410958904,53.38356164383562,0.31509016134134765
1,15.169863013698631,29.97808219178082,0.3360033982644578
2,9.084931506849315,19.443835616438356,0.31844809372899263
3,4.495890410958904,9.312328767123288,0.32559523809523805
4,2.6,9.98904109589041,0.20652883569096847
5,4.747945205479452,59.49315068493151,0.07390822244967588
6,12.246575342465754,210.58904109589042,0.05495789020716788
7,31.846575342465755,523.8712328767124,0.05730709880347274
8,65.31232876712329,761.9506849315069,0.07894989584402767
9,99.53972602739726,395.7479452054794,0.20097355902201575
10,147.8876712328767,267.6876712328767,0.3558624781619804
11,190.37808219178083,307.6356164383562,0.3822747902626874
12,217.06301369863013,376.6986301369863,0.36557264342040297
13,229.34520547945206,364.7150684931507,0.38606386511216056
14,243.47123287671232,341.75616438356167,0.4160284259016516
15,246.8739726027397,407.0712328767123,0.37751476810926304
16,243.44657534246576,574.9095890410958,0.29748242383662543
17,247.9972602739726,898.7178082191781,0.2162675516245332
18,194.18356164383562,724.6904109589041,0.21132774181621938
19,152.75890410958905,468.4027397260274,0.24592456025828763
20,114.3917808219178,313.0301369863014,0.267631995589998
21,87.35616438356165,227.55890410958904,0.2773959493318486
22,65.18082191780822,162.37534246575342,0.2864383924486504
23,39.92054794520548,96.41369863013699,0.2928137936578112
