day_of_week,casual_avg,registered_avg,day_label
0,92.83173076923077,321.65705128205127,Mon
1,81.89102564102564,359.8044871794872,Tue
2,78.71554487179488,380.3397435897436,Wed
3,80.03525641025641,362.0400641025641,Thu
4,99.84695512820512,333.6754807692308,Fri
5,180.55448717948718,236.7091346153846,Sat
6,169.56132075471697,225.7743710691824,Sun
