hour,actual,baseline_prediction,improved_prediction,baseline_residual,improved_residual
2017-10-20 00:00:00,103,110.29877122952001,74.75,-7.298771229520014,28.25
2017-10-20 01:00:00,44,71.04917726233134,67.12333333333333,-27.04917726233134,-23.123333333333335
2017-10-20 02:00:00,36,49.31189134231016,19.05,-13.311891342310162,16.95
2017-10-20 03:00:00,15,145.62738141639988,10.786666666666667,-130.62738141639988,4.213333333333333
2017-10-20 04:00:00,20,101.51960134026706,12.78,-81.51960134026706,7.220000000000001
2017-10-20 05:00:00,82,118.3734904111368,96.27133333333335,-36.3734904111368,-14.271333333333345
2017-10-20 06:00:00,343,198.21802801714637,352.60333333333335,144.78197198285363,-9.603333333333353
2017-10-20 07:00:00,821,471.5428051492637,841.93,349.4571948507363,-20.92999999999995
2017-10-20 08:00:00,1340,495.11725646563025,1329.69,844.8827435343698,10.309999999999945
2017-10-20 09:00:00,747,581.1550030816911,661.21,165.84499691830888,85.78999999999996
2017-10-20 10:00:00,504,640.4088696720115,479.65,-136.40886967201152,24.350000000000023
2017-10-20 11:00:00,654,642.9157197903247,596.7633333333333,11.084280209675285,57.23666666666668
2017-10-20 12:00:00,812,733.629591303572,765.8133333333334,78.37040869642794,46.18666666666661
2017-10-20 13:00:00,780,677.2140876124772,808.0,102.78591238752279,-28.0
2017-10-20 14:00:00,741,670.0292740596703,823.0933333333334,70.97072594032966,-82.09333333333336
2017-10-20 15:00:00,921,735.7121483520947,934.46,185.2878516479053,-13.460000000000036
2017-10-20 16:00:00,1235,698.5998209006435,1253.2733333333333,536.4001790993565,-18.273333333333312
2017-10-20 17:00:00,1689,660.6365825295028,1628.5766666666666,1028.363417470497,60.4233333333334
2017-10-20 18:00:00,1200,555.9718452413041,1218.94,644.0281547586959,-18.940000000000055
2017-10-20 19:00:00,716,515.1941430234846,803.0333333333333,200.80585697651543,-87.0333333333333
2017-10-20 20:00:00,511,503.2790360848952,526.8033333333333,7.7209639151047895,-15.803333333333285
2017-10-20 21:00:00,355,542.7262125678091,370.2366666666667,-187.72621256780906,-15.236666666666679
2017-10-20 22:00:00,311,535.5413990150022,270.27,-224.54139901500218,40.73000000000002
2017-10-20 23:00:00,267,542.648810709465,213.36666666666667,-275.648810709465,53.633333333333326
2017-10-21 00:00:00,148,61.90333473000425,171.94333333333333,86.09666526999575,-23.943333333333328
2017-10-21 01:00:00,86,51.676665075129506,106.85333333333334,34.323334924870494,-20.85333333333334
2017-10-21 02:00:00,60,76.92148734742574,70.39,-16.92148734742574,-10.39
2017-10-21 03:00:00,49,97.1137287558073,36.653333333333336,-48.1137287558073,12.346666666666664
2017-10-21 04:00:00,22,126.21171285721289,7.013333333333334,-104.21171285721289,14.986666666666666
2017-10-21 05:00:00,18,146.29019095698237,27.843333333333334,-128.29019095698237,-9.843333333333334
2017-10-21 06:00:00,58,180.77810217710203,56.94,-122.77810217710203,1.0600000000000023
2017-10-21 07:00:00,173,228.7830475236783,150.52333333333334,-55.783047523678306,22.47666666666666
2017-10-21 08:00:00,338,267.63947839495336,334.07,70.36052160504664,3.930000000000007
2017-10-21 09:00:00,634,419.9375764255801,614.7033333333334,214.06242357441988,19.296666666666624
2017-10-21 10:00:00,885,487.8718641673878,901.5366666666666,397.1281358326122,-16.536666666666633
2017-10-21 11:00:00,1165,607.7138566324235,1110.1,557.2861433675765,54.90000000000009
2017-10-21 12:00:00,1287,637.0401247046224,1255.3833333333334,649.9598752953776,31.61666666666656
2017-10-21 13:00:00,1370,669.6795398153623,1260.3866666666668,700.3204601846377,109.61333333333323
2017-10-21 14:00:00,1327,662.4947262625556,1257.4233333333334,664.5052737374444,69.5766666666666
2017-10-21 15:00:00,1338,688.2402083066596,1255.27,649.7597916933404,82.73000000000002
2017-10-21 16:00:00,1389,594.3675253684276,1250.5433333333333,794.6324746315724,138.4566666666667
2017-10-21 17:00:00,1227,639.1427622579133,1171.9766666666667,587.8572377420867,55.02333333333331
2017-10-21 18:00:00,945,628.5472218761524,1024.4566666666667,316.45277812384757,-79.4566666666667
2017-10-21 19:00:00,653,575.274290435268,839.8966666666666,77.72570956473203,-186.89666666666665
2017-10-21 20:00:00,409,538.4643158494367,554.5633333333334,-129.46431584943673,-145.5633333333334
